"Carimbo de data/hora","Termo de consentimento","Como se identifica?","""Qual é a sua cor ou raça/etnia?","Qual sua Idade?","Qual o eixo do seu curso?","Duração em semestres?","Qual semestre se encontra?","Quanto sua rotina de trabalho interfere nos estudos?","Qual o modelo de trabalho?","Marque até 4 características se aplicam ao seu trabalho","Quanto sua rotina de casa interfere nos estudos?","Atualmente mora só ou divide sua casa?","Sente pressionado por parentes e familiares sobre seus estudos?","Marque até 4  características que se aplicam a sua casa.","Tem um ambiente separado para seus estudos?","Dado contexto de ensino a distancia, sente falta de contato presencial com professores e colegas de sala:","Quanto concorda com a afirmação O estudo online dificulta o aprendizado?","Em uma escala de 1 a 5, o quanto o período de provas é estressante pra você?","Resuma em uma palavra como se sente no período de provas.","Sente pressionado por seus colegas de aula ou grupo?","Em poucas palavras quais dificuldades você sente em realizar trabalhos em grupo?","Qual estratégia de enfrentamento você usa como estudante?","Marque abaixo até 3 hábitos que tem.","Quanto esse(es) hábito(os) ajuda(am) com seu stress nos estudos? ","Marque abaixo até 3 vícios que tem.","O quanto esse(es) vício(os) contribui(em) no seu stress nos estudos?","Faz acompanhamento psicológico ou cuidado a saúde mental?","Utiliza do serviço público ou privado para saúde mental?","Nota melhoras na sua gestão de estresse, ou stress, com o uso de serviços de saúde mental?"
"2025/10/14 4:01:15 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Negócios e Produção","10 semestres","8","4","Remoto","Agitado;Barulhento;Imprevisível;Instável","3","Moro","2","Organizado;Aconchegante;Acolhedor;Cansativo","Não","5","3","3","Ansiosa","4","Falta de compromisso ","Buscar apoio, com amigos, familiares ou colegas.","Ler;Ouvir musica","2","Comparação social excessiva (redes, notas);Hábitos alimentares disfuncionais (pular refeições, compulsão)","3","Não","Não se aplica.","Sim"
"2025/10/14 4:02:32 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Branco","","Negócios e Produção","10 semestres","7","5","Hibrido","Estressante;Colaborativo;Dinâmico;Imprevisível","5","Moro com a minha família ","1","Confortável;Tranquilo;Seguro;Acolhedor","Não","3","1","3","Ansioso","1","eu sinto que dependendo de algumas pessoas do grupo há dificuldades em Distribuição de tarefas, qualidade na entrega, cumprimento de prazos e do que foi proposto! ","Autocuidado, busca atividades para relaxar a mente.","Exercicios Fisicos;Ouvir musica;Tempo com a familia","5","Autocobrança;Hábitos alimentares disfuncionais (pular refeições, compulsão);Dependência de alarmes múltiplos","4","Não","Não se aplica.","Não se aplica"
"2025/10/14 4:10:46 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Branco","","Negócios e Produção","8 semestres","7","4","Presencial","Agitado;Estressante;Dinâmico;Desafiador","2","Divide","1","Confortável;Tranquilo;Seguro;Aconchegante","Não","4","3","3","Calmo","1","Gente folgada ","Distrações, busca fontes de prazeres ou vícios para relaxar.","Sair com amigos;Ouvir musica","1","Comparação social excessiva (redes, notas)","3","Não","Não se aplica.","Não se aplica"
"2025/10/14 4:28:36 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Branco","","Negócios e Produção","8 semestres","7","3","Presencial","Agitado;Barulhento;Flexível;Estável","3","Divido","2","Tranquilo;Aconchegante;Silencioso;Acolhedor","Não","4","3","4","Ansioso ","3","Distância, falta de comunicação ","Distrações, busca fontes de prazeres ou vícios para relaxar.","Boa rotina de sono;Hidratação;Tempo com a familia","4","Isolamento;Hábitos alimentares disfuncionais (pular refeições, compulsão)","4","Sim","Privado","Sim"
"2025/10/14 4:38:35 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Negócios e Produção","8 semestres","7","3","Presencial","Estressante;Desafiador;Sobrecarregante","3","Eu e filha.","1","Confortável;Organizado;Tranquilo;Harmonioso;Seguro;Aconchegante;Silencioso;Acolhedor","Sim","3","3","3","Ansiosa","1","Pessoas cumprirem o prazo, ter q ficar o tempo todo lembrando, sendo q tem o plano de ação bem definido. ","Analisar a situação, lidar com a situação com inteligência.","Boa alimentação;Boa rotina de sono","3","Comparação social excessiva (redes, notas);Autocobrança","3","Não","Não se aplica.","Não se aplica"
"2025/10/14 4:43:10 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Preto","","Negócios e Produção","8 semestres","7","4","Presencial","Agitado;Estressante;Imprevisível","1","Com minha mãe ","1","Confortável;Organizado;Tranquilo;Seguro","Sim","3","3","3","Ansiosa","1","Falta de comprometimento e proatividade","Não consegue lidar bem, costuma ter paralisia ou piora do estresse.","Ler;Ouvir musica;Lazer com namorada","2","Autocobrança","2","Sim","Público","Sim"
"2025/10/14 4:49:59 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Negócios e Produção","8 semestres","7","5","Presencial","Agitado;Inovador;Produtivo;Dinâmico;Desafiador","4","Divido com a minha família ","2","Confortável;Seguro;Aconchegante;Acolhedor","Sim","4","2","5","Aflita","3","Ódio ","Isolamento Temporário, toma tempo para si e processar o stress.","Exercicios Fisicos;Boa alimentação;Serviço de apoio a saúde mental","3","Comparação social excessiva (redes, notas);Autocobrança;Isolamento;Hábitos alimentares disfuncionais (pular refeições, compulsão);Trocar dia por noite regularmente;Dependência de alarmes múltiplos;Vício em estudo (ignorar saúde por produtividade)","3","Não","Não se aplica.","Não"
"2025/10/14 4:59:37 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Amarelo","","Computação","8 semestres","8","5","Hibrido","Agitado;Caotico;Estressante;Desafiador","3","Só ","1","Confortável;Tranquilo;Silencioso;Acolhedor","Sim","4","2","5","Estressada ","3","Estressada ","Buscar apoio, com amigos, familiares ou colegas.","Exercicios Fisicos;Boa alimentação;Ouvir musica","4","Isolamento;Trocar dia por noite regularmente","4","Não","Não se aplica.","Não se aplica"
"2025/10/14 5:08:13 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Computação","10 semestres","10","5","Presencial","Estressante;Tóxico;Sobrecarregante;Imprevisível;Instável","4","Só ","5","Confortável;Tranquilo;Silencioso;Desorganizado;Caótico;Opressivo;Inseguro","Não","4","4","4","Desgaste ","4","É horrível, um faz os outros ficam olhando e tem aqueles que ainda postam no grupo do WhatsApp da univesp que fizeram tudo sozinho.","Autocuidado, busca atividades para relaxar a mente.","Exercicios Fisicos;Passear ao Ar Livre;Hidratação;Tempo com a familia","5","Autocobrança;Isolamento;Vício em estudo (ignorar saúde por produtividade)","4","Sim","Público","Sim"
"2025/10/14 6:22:27 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Branco","","Computação","8 semestres","8","2","Hibrido","Organizado;Agitado;Barulhento;Flexível;Inovador;Produtivo;Colaborativo;Dinâmico;Desafiador","2","Divido","1","Confortável;Acolhedor;Desorganizado;Barulhento;Desgastante","Não","2","1","4","Trânsito","1","Ausências","Analisar a situação, lidar com a situação com inteligência.","Exercicios Fisicos;Boa alimentação;Meditação","5","Isolamento;Dependência de alarmes múltiplos;Vício em estudo (ignorar saúde por produtividade)","2","Não","Não se aplica.","Não se aplica"
"2025/10/14 7:14:40 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Pardo","","Computação","8 semestres","7","2","Presencial","Agitado;Estressante;Imprevisível;Instável","5","Divido","1","Confortável;Tranquilo;Harmonioso;Seguro;Aconchegante;Silencioso;Acolhedor","Sim","5","3","2","Normal","2","Comunicação e divisão de tarefas ","Analisar a situação, lidar com a situação com inteligência.","Ouvir musica","1","Não se aplica","1","Não","Não se aplica.","Não se aplica"
"2025/10/14 7:50:17 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Computação","10 semestres","7","4","Presencial","Caotico;Barulhento;Estressante;Desafiador","4","Divido","3","Confortável;Tranquilo;Seguro;Aconchegante","Sim","3","2","3","Cansaço ","3","Distancia","Distrações, busca fontes de prazeres ou vícios para relaxar.","Ler;Ouvir musica;Tempo com a familia","4","Comparação social excessiva (redes, notas);Autocobrança;Isolamento","4","Sim","Privado","Sim"
"2025/10/14 8:14:48 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","","Computação","8 semestres","7","3","Hibrido","Organizado;Estressante;Inovador;Produtivo;Dinâmico;Desafiador;Hierarquizado rigidamente","5","casada e com 1 filho","3","Desorganizado;Barulhento;Caótico;Desgastante;Cansativo","Não","5","4","5","Angustiada","2","A comunicação acertiva. Isso é muito difícil virtualmente. A falta de interação social pessoalmente, dificulta muito essa aproximação e o relacionamento de confiança com os colegas, pois como confiar em um desconhecido?!","Isolamento Temporário, toma tempo para si e processar o stress.","Exercicios Fisicos;Boa alimentação;Boa rotina de sono;Hidratação;Ler;terapia","4","Comparação social excessiva (redes, notas);Autocobrança;Isolamento;Hábitos alimentares disfuncionais (pular refeições, compulsão)","3","Sim","Privado","Não"
"2025/10/14 8:22:30 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Branco","","Computação","8 semestres","7","4","Hibrido","Caotico;Inovador;Imprevisível;Instável","5","Divido","5","Caótico;Cansativo","Não","3","1","5","Pânico ","3","Sinergia","Autocuidado, busca atividades para relaxar a mente.","Exercicios Fisicos;Ler;Serviço de apoio a saúde mental","5","Comparação social excessiva (redes, notas);Autocobrança;Trocar dia por noite regularmente","4","Sim","Privado","Sim"
"2025/10/14 9:21:45 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Pardo","","Computação","8 semestres","8","2","Hibrido","Produtivo;Desafiador","2","Divido","1","Organizado;Tranquilo;Harmonioso","Não","3","2","2","Empolgada","1","Nenhuma dificuldade pois todos são responsáveis ","Autocuidado, busca atividades para relaxar a mente.","Exercicios Fisicos;Hidratação;Meditação","5","Autocobrança","3","Não","Não se aplica.","Sim"
"2025/10/15 12:08:22 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Branco","","Computação","8 semestres","5","3","Presencial","Silencioso;Produtivo;Colaborativo;Desafiador","4","Família ","3","Confortável;Organizado;Tranquilo;Acolhedor","Não","3","1","4","Focado","4","Desenvolvimento de PI","Analisar a situação, lidar com a situação com inteligência.","Exercicios Fisicos;Boa alimentação;Passear ao Ar Livre;Meditação","5","Autocobrança;Não se aplica","2","Não","Privado","Não se aplica"
"2025/10/16 1:10:50 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Branco","29","Licenciatura","8 semestres","7","3","Presencial","Calmo;Barulhento;Monótono;Colaborativo;Estável","5","Divido com minha noiva","3","Confortável;Tranquilo;Harmonioso;Seguro;Silencioso;Desorganizado;Desgastante;Cansativo","Só eu utilizo o espaço, mas tenho que dividí-lo com roupas sujas e outras coisas que o tornam desorganizado.","1","1","4","Inseguro","2","Muita. O grupo é bom, mas receio não conseguir atender às expectativas.","Distrações, busca fontes de prazeres ou vícios para relaxar.","Boa alimentação;Hidratação;Ouvir musica","2","Autocobrança;Isolamento;Hábitos alimentares disfuncionais (pular refeições, compulsão)","1","Não","Privado","Sim"
"2025/10/16 1:50:14 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Branco","42","Computação","10 semestres","7","2","Presencial","Estressante;Imprevisível;Hierarquizado rigidamente;Instável","5","Divido a casa com esposa e um filho. ","4","Confortável;Organizado;Barulhento;Cansativo","Sim","5","4","3","Frustrado","1","Não ter a opção de conhecer os colegas antes de adicionar ao grupo e não ter a opção de excluir um aluno que não colabora. Somos obrigados a carregar nas costas um aluno que não fez nada. ","Distrações, busca fontes de prazeres ou vícios para relaxar.","Passear ao Ar Livre;Hidratação","2","Hábitos alimentares disfuncionais (pular refeições, compulsão)","2","Não","Não se aplica.","Não se aplica"
"2025/10/16 1:57:21 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Pardo","34","Computação","10 semestres","9","4","Presencial","Agitado;Barulhento;Desafiador;Imprevisível","2","Divide residência ","1","Organizado","Não","4","2","4","Tempo corrido","1","Nível médio,pois a maioria não participa quanto deve","Autocuidado, busca atividades para relaxar a mente.","Exercicios Fisicos;Passear ao Ar Livre;Ouvir musica","4","Autocobrança;Isolamento;Hábitos alimentares disfuncionais (pular refeições, compulsão)","4","Não","Privado","Sim"
"2025/10/16 5:02:17 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Preto","34","Computação","8 semestres","7","5","Remoto","Agitado;Caotico;Estressante;Imprevisível","3","Divido quintal com minha mãe e irmã ","2","Confortável;Tranquilo;Seguro;Barulhento","Não","4","1","4","Muito longe e stress","3","Dificuldade em organização com o grupo, tanto pra alinhar tarefas, prazos e entregas.","Cuidado Emocional, permite-se sentir as emoções e depois si me recompor","Passear ao Ar Livre;Sair com amigos;Ouvir musica","4","Comparação social excessiva (redes, notas);Autocobrança;Hábitos alimentares disfuncionais (pular refeições, compulsão)","5","Sim","Privado","Sim"
"2025/10/17 4:10:48 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","43","Computação","8 semestres","8","5","Presencial","Agitado;Caotico;Desafiador;Sobrecarregante","1","Divido","1","Confortável;Organizado;Tranquilo;Harmonioso","Sim","1","1","1","Tranquila.","5","Muito desafiador, pois sou TEA nível 2 de suporte e tenho bastante dificuldade com a comunicação e com a falta de previsibilidade. ","Não consegue lidar bem, costuma ter paralisia ou piora do estresse.","Ler;Ouvir musica;Serviço de apoio a saúde mental","5","Isolamento;Hábitos alimentares disfuncionais (pular refeições, compulsão);Vício em estudo (ignorar saúde por produtividade)","5","Sim","Utilizo tanto o serviço público quanto o privado.","Não"
"2025/10/18 8:27:51 AM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Preto","30","Computação","10 semestres","4","5","Hibrido","Agitado;Estressante;Produtivo;Desafiador;Sobrecarregante;Hierarquizado rigidamente","3","Divido","2","Confortável;Organizado;Tranquilo;Harmonioso;Seguro;Aconchegante;Silencioso;Acolhedor","Não","4","1","5","Ansiosa","3","Estressada","Isolamento Temporário, toma tempo para si e processar o stress.","Exercicios Fisicos;Boa alimentação;Passear ao Ar Livre;Sair com amigos;Boa rotina de sono;Hidratação;Ler;Ouvir musica;Tempo com a familia","5","Comparação social excessiva (redes, notas);Autocobrança;Isolamento;Hábitos alimentares disfuncionais (pular refeições, compulsão);Trocar dia por noite regularmente","5","Sim","Privado","Sim"
"2025/10/18 8:42:35 AM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Pardo","27","Computação","8 semestres","3","5","Presencial","Agitado;Barulhento;Estressante;Sobrecarregante","5","Divido a casa.","3","Acolhedor;Barulhento;Cansativo","Sim","3","1","3","Ansiosa ","1","Ainda não realizei ","Autocuidado, busca atividades para relaxar a mente.","Hidratação;Ler;Tempo com a familia","5","Comparação social excessiva (redes, notas);Autocobrança","5","Não","Não se aplica.","Não se aplica"
"2025/10/18 11:07:16 AM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Pardo","35","Computação","10 semestres","7","3","Presencial","Organizado;Monótono;Estável","3","Divido","2","Confortável;Organizado;Tranquilo;Harmonioso","Sim","3","2","3","Ansioso","1","Divisão de tarefas e tarefas claras","Analisar a situação, lidar com a situação com inteligência.","Boa alimentação;Boa rotina de sono;Hidratação","3","Não se aplica","1","Não","Não se aplica.","Não se aplica"
"2025/10/18 11:18:17 AM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Branco","49","Computação","6 semestres","5","1","Presencial","Calmo;Organizado;Colaborativo;Estável","2","Divido","1","Confortável;Seguro;Aconchegante;Acolhedor","Sim","3","3","1","Confortavel","1","Integração ","Analisar a situação, lidar com a situação com inteligência.","Boa alimentação;Ouvir musica;Tempo com a familia","5","Autocobrança;Hábitos alimentares disfuncionais (pular refeições, compulsão)","2","Não","Não se aplica.","Não se aplica"
"2025/10/18 11:20:44 AM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Preto","29","Licenciatura","8 semestres","3","5","Presencial","Agitado;Barulhento;Produtivo","4","5","2","Tranquilo;Seguro","Sim","5","5","5","nervosismo ","3","há pessoas que não ajudam nos trabalhos, nem interagem, só ganham nota nas nossas costas ","Distrações, busca fontes de prazeres ou vícios para relaxar.","Ler;Ouvir musica;Tempo com a familia","4","Comparação social excessiva (redes, notas);Autocobrança;Isolamento","4","Não","Público","Não"
"2025/10/18 5:19:47 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Preto","40","Computação","8 semestres","7","5","Presencial","Agitado;Barulhento;Estressante;Sobrecarregante","5","Moro com marido e 2 filhos","3","Seguro;Acolhedor;Cansativo","Sim","5","4","4","Preocupada ","1","Alinhar o tempo de todos","Buscar apoio, com amigos, familiares ou colegas.","Tempo com a familia;Não se aplica","3","Autocobrança;Não se aplica","3","Não","Não se aplica.","Sim"
"2025/10/18 9:08:52 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Pardo","40","Licenciatura","10 semestres","7","4","Presencial","Agitado;Barulhento;Desafiador","3","Moro","1","Confortável;Organizado;Tranquilo","Sim","4","1","1","Tranquila","1","A pró-atividade disse demais integrantes ","Autocuidado, busca atividades para relaxar a mente.","Boa alimentação;Hidratação;Ler","5","Autocobrança;Não se aplica","4","Não","Não se aplica.","Não se aplica"
"2025/10/19 11:39:13 AM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Pardo","30","Computação","8 semestres","3","4","Presencial","Agitado;Caotico;Barulhento;Produtivo;Sobrecarregante","2","Moro com parentes","2","Confortável;Organizado;Tranquilo;Harmonioso;Seguro;Silencioso","Não","3","3","3","Ansioso","1","Trabalho em grupo nenhum, porem sinto dificuldades nas aulas por questoes de nao ter com quem tirar duvidas alem dos colegas porem isso acaba trazendo novas duvidas","Isolamento Temporário, toma tempo para si e processar o stress.","Hidratação;Ouvir musica;Tempo com a familia","4","Comparação social excessiva (redes, notas);Dependência de alarmes múltiplos","3","Não","Não se aplica.","Não se aplica"
"2025/10/19 2:06:02 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Branco","34","Negócios e Produção","8 semestres","6","5","Presencial","Agitado;Barulhento;Produtivo;Sobrecarregante","5","Divido ","3","Organizado;Aconchegante;Acolhedor;Cansativo","Não","3","1","3","Tenso","4","Completamente desorganizado ","Isolamento Temporário, toma tempo para si e processar o stress.","Hidratação;Ouvir musica;Tempo com a familia","3","Comparação social excessiva (redes, notas);Autocobrança;Consumo de alcool","2","Não","Não se aplica.","Não se aplica"
"2025/10/19 2:07:38 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","20","Computação","8 semestres","3","2","Presencial","Caotico;Estressante;Monótono;Instável","1","Divido com familiares.","2","Desorganizado;Barulhento;Caótico;Cansativo","Não","5","3","4","Nervosa","2","Ansiosa","Não consegue lidar bem, costuma ter paralisia ou piora do estresse.","Ler;Ouvir musica","3","Autocobrança;Isolamento;Hábitos alimentares disfuncionais (pular refeições, compulsão)","4","Não","Não se aplica.","Não se aplica"
"2025/10/19 9:07:30 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","38","Computação","8 semestres","7","5","Hibrido","Organizado;Monótono;Desafiador;Hierarquizado rigidamente","2","divido","1","Confortável;Organizado;Tranquilo;Aconchegante","Sim","3","1","2","Cansado ","2","Envolvimento e comprometimento de todos ","Distrações, busca fontes de prazeres ou vícios para relaxar.","Exercicios Fisicos;Sair com amigos;Tempo com a familia","4","Hábitos alimentares disfuncionais (pular refeições, compulsão);Trocar dia por noite regularmente;Dependência de alarmes múltiplos","3","Não","Não se aplica.","Não se aplica"
